,QueueGroupId,datetime,CallOffered_diff,CallAnswered_diff
5703072,368,2020-12-19 07:00:05,0.0,2.0
5703146,368,2020-12-19 07:02:06,4.0,3.0
5703221,368,2020-12-19 07:02:57,0.0,1.0
5703299,368,2020-12-19 07:04:06,2.0,2.0
5703377,368,2020-12-19 07:04:56,1.0,1.0
5703455,368,2020-12-19 07:05:57,5.0,4.0
5703533,368,2020-12-19 07:07:06,2.0,1.0
5703611,368,2020-12-19 07:07:57,0.0,1.0
5703689,368,2020-12-19 07:08:57,0.0,0.0
5703767,368,2020-12-19 07:10:06,1.0,1.0
5703845,368,2020-12-19 07:10:57,3.0,2.0
5703923,368,2020-12-19 07:12:06,0.0,1.0
5704002,368,2020-12-19 07:13:06,0.0,0.0
5704081,368,2020-12-19 07:13:57,1.0,1.0
5704160,368,2020-12-19 07:14:57,1.0,0.0
5704239,368,2020-12-19 07:15:56,2.0,3.0
5704318,368,2020-12-19 07:16:57,3.0,3.0
5704397,368,2020-12-19 07:17:57,4.0,2.0
5704476,368,2020-12-19 07:19:07,2.0,0.0
5704555,368,2020-12-19 07:19:56,0.0,1.0
5704634,368,2020-12-19 07:20:56,0.0,0.0
5704713,368,2020-12-19 07:21:56,0.0,1.0
5704792,368,2020-12-19 07:23:06,0.0,0.0
5704871,368,2020-12-19 07:23:57,0.0,0.0
5704950,368,2020-12-19 07:25:07,0.0,1.0
5705029,368,2020-12-19 07:25:57,0.0,0.0
5705108,368,2020-12-19 07:26:57,2.0,1.0
5705187,368,2020-12-19 07:27:57,1.0,1.0
5705266,368,2020-12-19 07:28:57,0.0,0.0
5705345,368,2020-12-19 07:29:57,0.0,0.0
5705424,368,2020-12-19 07:31:06,0.0,0.0
5705503,368,2020-12-19 07:31:56,3.0,3.0
5705582,368,2020-12-19 07:32:56,3.0,3.0
5705661,368,2020-12-19 07:33:57,4.0,2.0
5705740,368,2020-12-19 07:34:57,1.0,2.0
5705819,368,2020-12-19 07:35:57,2.0,2.0
5705898,368,2020-12-19 07:36:57,4.0,2.0
5705977,368,2020-12-19 07:37:57,1.0,1.0
5706056,368,2020-12-19 07:38:56,0.0,1.0
5706135,368,2020-12-19 07:39:57,0.0,1.0
5706214,368,2020-12-19 07:40:56,1.0,1.0
5706293,368,2020-12-19 07:41:57,0.0,0.0
5706372,368,2020-12-19 07:42:57,0.0,0.0
5706451,368,2020-12-19 07:43:57,0.0,1.0
5706530,368,2020-12-19 07:44:57,1.0,0.0
5706609,368,2020-12-19 07:46:07,0.0,0.0
5706688,368,2020-12-19 07:46:56,2.0,2.0
5706767,368,2020-12-19 07:47:56,1.0,0.0
5706846,368,2020-12-19 07:48:56,2.0,2.0
5706925,368,2020-12-19 07:49:57,0.0,0.0
5707004,368,2020-12-19 07:50:57,0.0,0.0
5707083,368,2020-12-19 07:51:56,1.0,1.0
5707162,368,2020-12-19 07:52:57,0.0,0.0
5707242,368,2020-12-19 07:53:56,0.0,0.0
5707322,368,2020-12-19 07:54:56,0.0,0.0
5707402,368,2020-12-19 07:56:07,5.0,3.0
5707482,368,2020-12-19 07:57:07,1.0,0.0
5707562,368,2020-12-19 07:57:56,0.0,0.0
5707642,368,2020-12-19 07:58:57,0.0,1.0
5707722,368,2020-12-19 07:59:57,0.0,2.0
5707802,368,2020-12-19 08:00:57,8.0,5.0
5707882,368,2020-12-19 08:02:57,1.0,4.0
5707962,368,2020-12-19 08:03:57,0.0,0.0
5708042,368,2020-12-19 08:04:57,0.0,0.0
5708122,368,2020-12-19 08:05:57,2.0,1.0
5708202,368,2020-12-19 08:06:57,2.0,2.0
5708282,368,2020-12-19 08:07:57,0.0,2.0
5708362,368,2020-12-19 08:08:57,3.0,1.0
