,rate_CO_SL
1586,-1.77181343614135
1587,-1.7966793096092832
1588,-1.821461409761664
1589,-1.846158042177907
1590,-2.1815051844538207
1591,-2.2100987833186907
1592,-2.2385868964704767
1593,-2.2669676205490674
1594,-2.2952390710959545
1595,-2.3233993839948823
1596,-2.351446714797325
1597,-2.3793792401240945
1598,-2.4071951579870565
1599,-2.434892687152125
1600,-2.4624700693039494
1601,-2.489925568313037
1602,-2.5172574706849877
1603,-2.544464086864983
1604,-2.5715437502732392
1605,-2.598494819348463
1606,-2.6253156768803647
1607,-2.6520047303649257
1608,-2.678560413139774
1609,-2.7049811843705487
1610,-2.731265529086026
1611,-2.757411959460045
1612,-2.7834190141560753
1613,-2.8092852596255518
1614,-2.83500929007801
1615,-2.860589727480672
1616,-2.886025222616306
1617,-2.9113144553289216
1618,-2.9364561339036266
1619,-2.961448997074198
1620,-9.082021491996462
1621,-9.15711440044833
1622,-9.231743763296453
1623,-9.305906112049804
1624,-9.379598074226935
1625,-9.452816371887351
1626,-9.525557824230845
1627,-9.597819348095168
1628,-9.669597957799605
1629,-9.74089076728053
1630,-9.811694990637216
1631,-9.88200794186471
1632,-9.951827037221598
1633,-10.021149794390915
1634,-10.089973834302477
1635,-10.158296882318783
1636,-10.226116766197704
1637,-10.293431420230373
1638,-10.360238883802806
1639,-10.426537301907278
1640,-10.49232492688405
1641,-10.55760011763299
1642,-10.622361341501046
1643,-10.686607173833258
1644,-10.750336298300912
1645,-10.813547508346415
1646,-10.87623970680583
1647,-10.938411906137608
1648,-11.000063229773307
1649,-11.061192911093428
1883,2.0548696351806433
1884,2.0339210835895165
1885,2.0130152589530033
1886,1.9921541589788136
1887,1.971339773028785
1888,1.9505740818723816
1889,1.929859056661592
1890,1.9091966591302731
1891,1.8885888404971696
1892,1.86803754131596
2455,4.627129022790518
2456,4.625790030828958
2457,4.624284898601491
2458,4.6226085644353345
2459,4.6207560017168
2460,4.618722219920264
2461,4.616502266351341
2462,4.614091226697235
2463,4.611484227134136
2464,4.608676434788863
